"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map01100","Metabolic pathways","",104,918,0.37410071942446,0.973150891051864,0.669565010602559,"Mycgr3G68234;Mycgr3G106055;Mycgr3G110909;Mycgr3G110982;Mycgr3G98380;Mycgr3G98465;Mycgr3G99631;Mycgr3G32667;Mycgr3G56782;Mycgr3G99408;Mycgr3G100120;Mycgr3G60824;Mycgr3G76530;Mycgr3G53658;Mycgr3G39840;Mycgr3G104956;Mycgr3G73335;Mycgr3G68535;Mycgr3G32466;Mycgr3G99175;Mycgr3G108469;Mycgr3G67250;Mycgr3G54449;Mycgr3G99503;Mycgr3G54399;Mycgr3G43103;Mycgr3G109538;Mycgr3G41016;Mycgr3G75376;Mycgr3G74043;Mycgr3G105601;Mycgr3G108882;Mycgr3G95573;Mycgr3G101921;Mycgr3G69862;Mycgr3G101715;Mycgr3G108472;Mycgr3G76293;Mycgr3G74581;Mycgr3G109694;Mycgr3G101464;Mycgr3G105409;Mycgr3G110313;Mycgr3G88201;Mycgr3G73125;Mycgr3G98820;Mycgr3G88803;Mycgr3G56200;Mycgr3G76276;Mycgr3G69768;Mycgr3G66030;Mycgr3G70045;Mycgr3G68078;Mycgr3G109020;Mycgr3G109704;Mycgr3G87000;Mycgr3G85019;Mycgr3G103595;Mycgr3G39191;Mycgr3G67035;Mycgr3G64379;Mycgr3G110012;Mycgr3G103221;Mycgr3G39149;Mycgr3G43980;Mycgr3G74146;Mycgr3G42395;Mycgr3G76469;Mycgr3G76728;Mycgr3G108426;Mycgr3G41900;Mycgr3G72635;Mycgr3G86672;Mycgr3G41337;Mycgr3G50133;Mycgr3G85598;Mycgr3G66908;Mycgr3G64857;Mycgr3G60749;Mycgr3G70208;Mycgr3G109769;Mycgr3G38178;Mycgr3G109462;Mycgr3G46922;Mycgr3G111077;Mycgr3G67892;Mycgr3G70497;Mycgr3G34998;Mycgr3G107427;Mycgr3G107133;Mycgr3G67317;Mycgr3G76425;Mycgr3G100271;Mycgr3G32609;Mycgr3G37216;Mycgr3G107854;Mycgr3G41530;Mycgr3G31826;Mycgr3G99627;Mycgr3G36032;Mycgr3G40731;Mycgr3G72548;Mycgr3G34461;Mycgr3G54752",0.999460849422621
"map00062","Fatty acid elongation","",1,9,0.00359712230215827,0.954436450839329,0.672381515617611,"Mycgr3G42395",0.999460849422621
"map00430","Taurine and hypotaurine metabolism","",1,9,0.00359712230215827,0.954436450839329,0.672381515617611,"Mycgr3G68234",0.999460849422621
"map04917","Prolactin signaling pathway","",1,9,0.00359712230215827,0.954436450839329,0.672381515617611,"Mycgr3G59862",0.999460849422621
"map04970","Salivary secretion","",1,9,0.00359712230215827,0.954436450839329,0.672381515617611,"Mycgr3G70478",0.999460849422621
"map05212","Pancreatic cancer","",1,9,0.00359712230215827,0.954436450839329,0.672381515617611,"Mycgr3G59862",0.999460849422621
"map00400","Phenylalanine, tyrosine and tryptophan biosynthesis","",2,20,0.00719424460431655,0.858992805755396,0.695387607418607,"Mycgr3G76728;Mycgr3G100271",0.999460849422621
"map00460","Cyanoamino acid metabolism","",2,20,0.00719424460431655,0.858992805755396,0.695387607418607,"Mycgr3G110012;Mycgr3G100493",0.999460849422621
"map04137","Mitophagy - animal","",2,20,0.00719424460431655,0.858992805755396,0.695387607418607,"Mycgr3G106945;Mycgr3G59862",0.999460849422621
"map04722","Neurotrophin signaling pathway","",2,20,0.00719424460431655,0.858992805755396,0.695387607418607,"Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map04726","Serotonergic synapse","",2,20,0.00719424460431655,0.858992805755396,0.695387607418607,"Mycgr3G67035;Mycgr3G59862",0.999460849422621
"map05168","Herpes simplex virus 1 infection","",3,30,0.0107913669064748,0.858992805755396,0.696563049851745,"Mycgr3G100120;Mycgr3G87527;Mycgr3G42271",0.999460849422621
"map00130","Ubiquinone and other terpenoid-quinone biosynthesis","",1,10,0.00359712230215827,0.858992805755396,0.71066564283842,"Mycgr3G107133",0.999460849422621
"map00521","Streptomycin biosynthesis","",1,10,0.00359712230215827,0.858992805755396,0.71066564283842,"Mycgr3G107427",0.999460849422621
"map04012","ErbB signaling pathway","",1,10,0.00359712230215827,0.858992805755396,0.71066564283842,"Mycgr3G59862",0.999460849422621
"map04923","Regulation of lipolysis in adipocytes","",1,10,0.00359712230215827,0.858992805755396,0.71066564283842,"Mycgr3G67035",0.999460849422621
"map04976","Bile secretion","",1,10,0.00359712230215827,0.858992805755396,0.71066564283842,"Mycgr3G70478",0.999460849422621
"map05224","Breast cancer","",1,10,0.00359712230215827,0.858992805755396,0.71066564283842,"Mycgr3G59862",0.999460849422621
"map00920","Sulfur metabolism","",2,21,0.00719424460431655,0.81808838643371,0.721281791343428,"Mycgr3G110909;Mycgr3G100120",0.999460849422621
"map00480","Glutathione metabolism","",3,32,0.0107913669064748,0.805305755395683,0.738471897661416,"Mycgr3G105101;Mycgr3G100643;Mycgr3G105887",0.999460849422621
