"temp","replicate","well","condition","drug_mgL","sham_mM","r_per_h","K","R2","RMSE","n_pts","r_per_h_raw","smooth_h","fit_start","fit_end","o2_used","rule","rule_fallback","overridden","step_shift_mgL","excluded"
27,2,"B5","P4",4,0,0.0709019649341206,0.000844035963518371,0.998569519235448,0.0787752881370728,2066,0.0822578901500271,12,399.4,2471.6,7.13986130374479,"manual (03_trim_selector.R)",FALSE,FALSE,2.56,FALSE
27,2,"B6","P4",4,0,0.0286967597995638,0.00156251652153129,0.998728985917735,0.0798744665687307,2553,0.0300785512439317,12,429.5,2989.8,7.35895284327323,"manual (03_trim_selector.R)",FALSE,FALSE,0.145,FALSE
27,2,"D4","P4S",4,0.2,0.0187364144074772,0.00127050159178255,0.999233917865715,0.0532081432985109,3110,0.0172680190117378,12,399.4,3519.2,6.53865464632456,"manual (03_trim_selector.R)",FALSE,FALSE,-0.08,FALSE
27,2,"D5","P4S",4,0.2,0.0189624007424987,0.00127289800210684,0.999328829825822,0.050226724653205,3110,0.0176832917112443,12,399.4,3519.2,6.55908460471569,"manual (03_trim_selector.R)",FALSE,FALSE,-0.01,FALSE
27,2,"D6","P4S",4,0.2,0.0195215579922449,0.00115362604603642,0.999373880807187,0.0446942890677478,3110,0.0176127740403814,12,399.4,3519.2,6.07823855755894,"manual (03_trim_selector.R)",FALSE,FALSE,-0.09,FALSE
27,3,"A1","V",0,0,0.0804015044786525,0.000948389850446616,0.998671596694744,0.0797404858664001,1863,0.102858110567257,12,399.4,2267.1,7.5203328710125,"manual (03_trim_selector.R)",FALSE,FALSE,1.47,FALSE
27,3,"A2","V",0,0,0.0724795072385407,0.00109251104002991,0.998697764308696,0.0781250037169815,1869,0.0901027166094426,12,399.4,2273.1,7.35488210818308,"manual (03_trim_selector.R)",FALSE,FALSE,0.97,FALSE
27,3,"A3","V",0,0,0.0634991217946046,0.00137611363282271,0.998814604649388,0.0797262894629477,1881,0.078696279020191,12,394.4,2280.1,7.81725381414699,"manual (03_trim_selector.R)",FALSE,FALSE,1.01,FALSE
27,3,"A4","V",0,0,0.0723705381560257,0.00114108261167563,0.998778193987597,0.0775288215583615,1856,0.0896526009973174,12,399.4,2261,7.50412621359226,"manual (03_trim_selector.R)",FALSE,FALSE,0.775,FALSE
27,3,"A5","V",0,0,0.0694221832139095,0.00121056484721391,0.998818297355183,0.078170402894739,1875,0.0881647257717681,12,392.4,2272.1,7.75696255201105,"manual (03_trim_selector.R)",FALSE,FALSE,1.53,FALSE
