sub,bigg,mnx,sm2
3-phospho-serine,pser__L,MNXM379,[NH3+][C@@H](COP(=O)([O-])[O-])C(=O)[O-]
phytosphingosine 1-phosphate,psph1p,MNXM3337,CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H]([NH3+])COP(=O)([O-])[O-]
sphinganine,sphgn,MNXM302,CCCCCCCCCCCCCCC[C@@H](O)[C@@H]([NH3+])CO
N(1)-acetylspermidine,N1aspmd,MNXM501,CC(=O)NCCC[NH2+]CCCC[NH3+]
5-aminolevulinate,5aop,MNXM405,C(CC(=O)O)C(=O)CN
N(1)-acetylspermine,N1sprm,MNXM600,CC(=O)NCCC[NH2+]CCCC[NH2+]CCC[NH3+]
spermine,sprm,MNXM408,C(CCNCCCN)CNCCCN
prephenate,pphn,MNXM503,C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O
L-proline,pro__L,MNXM114,C1CC(NC1)C(=O)O
nicotinamide riboside,rnam,MNXM1115,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1
guanosine,gsn,MNXM401,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N
