gene,contrib,d,h27,drug21_lfc,heat27_lfc,name,desc,KEGG
Mycgr3G105101,0.01566598806535215,0.018502924536516353,0.84667632051542,1.61599686957148,0.84667632051542,,"Glutathione S-transferase, C-terminal domain",map00480;map00980;map00982;map00983;map01524;map05200;map05204;map05225;map05418
Mycgr3G19276,0.01565176306858961,0.013525731389602254,1.15718423039376,1.25685494166369,1.15718423039376,,Lytic transglycolase,
Mycgr3G41259,0.015617021186224938,0.01553408827041418,1.00533876944479,1.3677124225985,1.00533876944479,,Glycosyl hydrolase catalytic core,
Mycgr3G74526,0.015595925307408566,-0.011508900331302063,-1.35511863500899,-1.15530828479617,-1.35511863500899,FAL1,Belongs to the DEAD box helicase family,map03013;map03015;map03040
Mycgr3G43910,0.015573389743102005,0.012393889424744804,1.2565377347977,1.45604099342545,1.2565377347977,,Domain of unknown function (DUF1917),
Mycgr3G88201,0.015569059324952244,-0.01657774535816725,-0.9391542087647,-1.0431123511719,-0.9391542087647,ACO2,Belongs to the aconitase IPM isomerase family,map00300;map01100;map01120;map01130;map01210;map01230
Mycgr3G105822,0.01555720335262861,0.018760906514312243,0.82923516199819,1.0745163446642,0.82923516199819,,,
Mycgr3G17842,0.01552487226877756,0.031135962942483116,0.498615453052034,3.30047217126768,0.498615453052034,,Alpha/beta hydrolase family,
Mycgr3G96947,0.015518806014828204,0.011612542681777091,1.33638311953686,1.90527553371796,1.33638311953686,,Belongs to the glycosyl hydrolase 43 family,
Mycgr3G90816,0.015517337341917407,0.008068514245182063,1.92319637424985,0.536071799062263,1.92319637424985,,Protein kinase domain,
Mycgr3G82331,0.01547382819405194,0.01969303165383332,0.785751450871197,1.35785988476837,0.785751450871197,,,
Mycgr3G102792,0.015456831191166224,-0.013479576738627569,-1.14668520316907,-1.5047653762492,-1.14668520316907,,,
Mycgr3G85505,0.015397943054808487,-0.013158080142442569,-1.17022718269826,-2.02414022448481,-1.17022718269826,,Fibronectin type III-like domain,map00460;map00500;map00940;map01100;map01110
Mycgr3G102881,0.015394342135796789,-0.019071190151307982,-0.807204060871942,-1.59331299590898,-0.807204060871942,RPL9B,Ribosomal protein L6,map03010
Mycgr3G10422,0.01538647648897706,-0.0180977442114597,-0.850187532169571,-0.786535073601907,-0.850187532169571,MAK21,CBF/Mak21 family,
Mycgr3G43397,0.015385710616002676,0.012369434839622502,1.24384911804687,1.00310027371742,1.24384911804687,,,
Mycgr3G95359,0.01537476311186115,0.01914300581838624,0.803153029243411,1.55235085861942,0.803153029243411,,,
Mycgr3G106814,0.015369292335498079,0.011852013121564017,1.29676639553618,1.01087338931732,1.29676639553618,,,
Mycgr3G101325,0.015331340952622185,0.030508908232794705,0.502520143809741,4.02049509877994,0.502520143809741,,Enoyl-(Acyl carrier protein) reductase,map00040
Mycgr3G49617,0.015326930948102736,0.009342775553782904,1.64051152249899,1.90852545424155,1.64051152249899,,Gnat family,
Mycgr3G101997,0.015321430340700852,-0.014893503735563843,-1.02873243346461,-1.46294696792712,-1.02873243346461,,Pfam:RRM_6,map03013;map03015;map03040
Mycgr3G106762,0.015310843809842614,0.016716398874248587,0.915917592360684,1.56569760648282,0.915917592360684,,Cys/Met metabolism PLP-dependent enzyme,map00270;map00450;map00920;map01100;map01110;map01130;map01230
Mycgr3G106125,0.015297216011540042,0.017051259965197275,0.897131123609789,1.4730316911051,0.897131123609789,,,
Mycgr3G95389,0.015292799027595498,0.01064403077104443,1.43674885544275,1.71857207526978,1.43674885544275,,,
Mycgr3G100024,0.015279300533021822,-0.015213382537416028,-1.0043328954257,-1.43848615660057,-1.0043328954257,,U2 snRNP auxiliary factor large subunit,map03040
Mycgr3G108107,0.01527543578759957,-0.016426813892101152,-0.929908616968308,-1.48649274069539,-0.929908616968308,TYR1,Prephenate dehydrogenase,map00400;map01100;map01110;map01130
Mycgr3G82615,0.015262936612087115,-0.011584311020738841,-1.31755238483865,-0.902337144741436,-1.31755238483865,,Domain in histone families 1 and 5,
Mycgr3G111306,0.015234505009199397,0.01604725119669932,0.94935293418557,2.55228737991644,0.94935293418557,,,
