EFMGRG_id_original,Mycgr3G_id,match_confidence
Mycgr3G102740,Mycgr3G102740,unique
Mycgr3G102741,Mycgr3G102741,unique
Mycgr3G102744,Mycgr3G102744,unique
Mycgr3G102749,Mycgr3G102749,unique
Mycgr3G102753,Mycgr3G102753,unique
Mycgr3G102763,Mycgr3G102763,unique
Mycgr3G102764,Mycgr3G102764,unique
Mycgr3G102767,Mycgr3G102767,unique
Mycgr3G102770,Mycgr3G102770,unique
Mycgr3G102775,Mycgr3G102775,unique
Mycgr3G102780,Mycgr3G102780,unique
Mycgr3G102785,Mycgr3G102785,unique
Mycgr3G102788,Mycgr3G102788,unique
Mycgr3G102792,Mycgr3G102792,unique
Mycgr3G102794,Mycgr3G102794,unique
Mycgr3G102797,Mycgr3G102797,unique
Mycgr3G102798,Mycgr3G102798,unique
Mycgr3G102800,Mycgr3G102800,unique
Mycgr3G102802,Mycgr3G102802,unique
Mycgr3G102814,Mycgr3G102814,unique
Mycgr3G102819,Mycgr3G102819,unique
Mycgr3G102821,Mycgr3G102821,unique
Mycgr3G102831,Mycgr3G102831,unique
Mycgr3G102837,Mycgr3G102837,unique
Mycgr3G102841,Mycgr3G102841,unique
Mycgr3G102842,Mycgr3G102842,unique
Mycgr3G102848,Mycgr3G102848,unique
Mycgr3G102849,Mycgr3G102849,unique
Mycgr3G102854,Mycgr3G102854,unique
Mycgr3G102855,Mycgr3G102855,unique
Mycgr3G102869,Mycgr3G102869,unique
Mycgr3G102874,Mycgr3G102874,unique
Mycgr3G102877,Mycgr3G102877,unique
Mycgr3G102881,Mycgr3G102881,unique
Mycgr3G102887,Mycgr3G102887,unique
Mycgr3G102893,Mycgr3G102893,unique
Mycgr3G102895,Mycgr3G102895,unique
Mycgr3G102897,Mycgr3G102897,unique
Mycgr3G102901,Mycgr3G102901,unique
Mycgr3G102907,Mycgr3G102907,unique
Mycgr3G102912,Mycgr3G102912,unique
Mycgr3G102916,Mycgr3G102916,unique
Mycgr3G102918,Mycgr3G102918,unique
Mycgr3G102920,Mycgr3G102920,unique
Mycgr3G102922,Mycgr3G102922,unique
Mycgr3G102927,Mycgr3G102927,unique
Mycgr3G102936,Mycgr3G102936,unique
Mycgr3G102943,Mycgr3G102943,unique
Mycgr3G102950,Mycgr3G102950,unique
Mycgr3G102956,Mycgr3G102956,unique
Mycgr3G102961,Mycgr3G102961,unique
Mycgr3G102970,Mycgr3G102970,unique
Mycgr3G102977,Mycgr3G102977,unique
Mycgr3G102980,Mycgr3G102980,unique
Mycgr3G102982,Mycgr3G102982,unique
Mycgr3G102983,Mycgr3G102983,unique
Mycgr3G102985,Mycgr3G102985,unique
Mycgr3G102988,Mycgr3G102988,unique
Mycgr3G102990,Mycgr3G102990,unique
Mycgr3G102996,Mycgr3G102996,unique
Mycgr3G103001,Mycgr3G103001,unique
Mycgr3G103004,Mycgr3G103004,unique
Mycgr3G103006,Mycgr3G103006,unique
Mycgr3G103011,Mycgr3G103011,unique
Mycgr3G103019,Mycgr3G103019,unique
Mycgr3G103027,Mycgr3G103027,unique
Mycgr3G103029,Mycgr3G103029,unique
Mycgr3G103030,Mycgr3G103030,unique
Mycgr3G103034,Mycgr3G103034,unique
Mycgr3G103042,Mycgr3G103042,unique
Mycgr3G103058,Mycgr3G103058,unique
Mycgr3G103060,Mycgr3G103060,unique
Mycgr3G103070,Mycgr3G103070,unique
Mycgr3G103073,Mycgr3G103073,unique
Mycgr3G103087,Mycgr3G103087,unique
Mycgr3G103089,Mycgr3G103089,unique
Mycgr3G103091,Mycgr3G103091,unique
Mycgr3G103098,Mycgr3G103098,unique
Mycgr3G10310,Mycgr3G10310,unique
Mycgr3G103102,Mycgr3G103102,unique
Mycgr3G103105,Mycgr3G103105,unique
Mycgr3G103110,Mycgr3G103110,unique
Mycgr3G103124,Mycgr3G103124,unique
Mycgr3G103126,Mycgr3G103126,unique
Mycgr3G103130,Mycgr3G103130,unique
Mycgr3G103135,Mycgr3G103135,unique
Mycgr3G103147,Mycgr3G103147,unique
Mycgr3G103157,Mycgr3G103157,unique
Mycgr3G103159,Mycgr3G103159,unique
Mycgr3G103162,Mycgr3G103162,unique
Mycgr3G103183,Mycgr3G103183,unique
Mycgr3G103184,Mycgr3G103184,unique
Mycgr3G103191,Mycgr3G103191,unique
Mycgr3G103199,Mycgr3G103199,unique
Mycgr3G103202,Mycgr3G103202,unique
Mycgr3G103208,Mycgr3G103208,unique
Mycgr3G103215,Mycgr3G103215,unique
Mycgr3G103218,Mycgr3G103218,unique
Mycgr3G103221,Mycgr3G103221,unique
Mycgr3G103230,Mycgr3G103230,unique
Mycgr3G103232,Mycgr3G103232,unique
Mycgr3G103254,Mycgr3G103254,unique
Mycgr3G103255,Mycgr3G103255,unique
Mycgr3G103256,Mycgr3G103256,unique
Mycgr3G103260,Mycgr3G103260,unique
Mycgr3G103262,Mycgr3G103262,unique
Mycgr3G103264,Mycgr3G103264,unique
Mycgr3G103270,Mycgr3G103270,unique
Mycgr3G103274,Mycgr3G103274,unique
Mycgr3G103278,Mycgr3G103278,unique
Mycgr3G103282,Mycgr3G103282,unique
Mycgr3G103297,Mycgr3G103297,unique
Mycgr3G103310,Mycgr3G103310,unique
Mycgr3G103315,Mycgr3G103315,unique
Mycgr3G103329,Mycgr3G103329,unique
Mycgr3G103332,Mycgr3G103332,unique
Mycgr3G103337,Mycgr3G103337,unique
Mycgr3G103339,Mycgr3G103339,unique
Mycgr3G103343,Mycgr3G103343,unique
Mycgr3G103347,Mycgr3G103347,unique
Mycgr3G103350,Mycgr3G103350,unique
Mycgr3G103356,Mycgr3G103356,unique
Mycgr3G103360,Mycgr3G103360,unique
Mycgr3G103362,Mycgr3G103362,unique
Mycgr3G103370,Mycgr3G103370,unique
Mycgr3G103372,Mycgr3G103372,unique
Mycgr3G103387,Mycgr3G103387,unique
Mycgr3G103393,Mycgr3G103393,unique
Mycgr3G103396,Mycgr3G103396,unique
Mycgr3G103402,Mycgr3G103402,unique
Mycgr3G103406,Mycgr3G103406,unique
Mycgr3G103418,Mycgr3G103418,unique
Mycgr3G103421,Mycgr3G103421,unique
Mycgr3G103423,Mycgr3G103423,unique
